mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,displacement_cc,Pwr/Wt_Ratio
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,1966.45,33.89
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,1950.06,26.46
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,1769.81,30.2
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,1409.29,32.46
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,2556.39,26.67
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,1392.9,32.46
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),1474.84,43.44
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),1474.84,48.65
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),1982.84,44.03
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,2392.52,48.51
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,1491.23,27.61
40.9,4,85.0,,1835,17.3,80,europe,renault lecar deluxe,1392.9,
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,1589.55,32.01
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,1458.45,29.76
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,2753.03,22.05
23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs,1147.1,24.2
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,1999.23,28.41
23.6,4,140.0,,2905,14.3,80,usa,ford mustang cobra,2294.19,
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,1753.42,31.81
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,2212.26,29.64
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,2474.45,31.37
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),2556.39,28.48
23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet citation,2834.97,24.77
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,2212.26,28.39
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,1294.58,30.26
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,1409.29,29.3
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,1327.36,29.33
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,1589.55,30.82
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,1392.9,30.38
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,1458.45,33.06
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,1491.23,29.19
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,1720.65,35.16
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,1605.94,31.46
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,1605.94,36.62
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,1720.65,29.59
34.5,4,100.0,,2320,15.8,81,europe,renault 18i,1638.71,
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,1753.42,29.47
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,1769.81,31.33
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,1950.06,26.15
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,1966.45,35.61
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,2310.58,40.38
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,2376.13,41.58
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,2753.03,25.0
24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima,2392.52,24.42
22.4,6,231.0,110.0,3415,15.8,81,usa,buick century,3785.42,31.05
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,5735.48,35.48
20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl,3277.42,34.77
17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon,3687.1,40.76
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,1835.36,29.6
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,1835.36,30.0
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,1835.36,27.22
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,1835.36,30.29
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,2212.26,30.06
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,2474.45,30.39
24.0,4,140.0,92.0,2865,16.4,82,usa,ford fairmont futura,2294.19,31.14
23.0,4,151.0,,3035,20.5,82,usa,amc concord dl,2474.45,
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,1720.65,26.76
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,1491.23,29.78
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,1491.23,28.97
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,1720.65,33.73
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,1605.94,30.36
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,1966.45,24.55
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,1753.42,29.4
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,1769.81,32.07
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,1491.23,29.33
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),1491.23,29.33
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,1491.23,29.78
25.0,6,181.0,110.0,2945,16.4,82,usa,buick century limited,2966.07,26.77
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),4293.42,35.47
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,2556.39,28.1
22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l,3801.81,25.31
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,2359.74,27.76
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,2212.26,28.21
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,2474.45,32.78
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,2294.19,32.44
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,1589.55,40.96
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,2212.26,27.32
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,1966.45,33.23
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,1950.06,33.17
